university_id,state,student count,awards_per_value,awards_per_state_value,fte_value
156471,Kentucky,847,44.2,41.4,994
156541,Kentucky,2096,16.5,20.4,1550
156620,Kentucky,13891,20.4,19.5,12093
156648,Kentucky,6929,20.1,18.5,3762
156745,Kentucky,1043,20,20.4,1133
156790,Kentucky,3790,23,18.5,2087
156851,Kentucky,2036,15,18.5,1300
156860,Kentucky,3609,21.5,18.5,2269
156903,Kentucky,86,40.1,28,126
156921,Kentucky,13498,14.8,18.5,7950
157021,Kentucky,1282,33.8,28,1491
157058,Kentucky,2370,12.9,19.5,1971
157076,Kentucky,657,20.8,20.4,633
157085,Kentucky,21441,19.6,19.5,20078
157100,Kentucky,559,16.1,20.4,566
157216,Kentucky,2200,19.4,20.4,2026
157270,Kentucky,381,35.1,28,378
157289,Kentucky,15954,19.7,19.5,13750
157304,Kentucky,4522,23.6,18.5,2082
157331,Kentucky,3595,14.5,18.5,2969
157359,Kentucky,2154,37,20.4,1628
157377,Kentucky,1247,25,20.4,1187
157386,Kentucky,10076,20,19.5,6632
157401,Kentucky,9172,19.8,19.5,7711
157438,Kentucky,4646,16,18.5,2422
157447,Kentucky,12794,19.5,19.5,10741
157465,Kentucky,122,38.8,28,233
157483,Kentucky,7104,19.8,18.5,4107
157535,Kentucky,1738,12.9,20.4,1198
157553,Kentucky,4715,15.3,18.5,2660
157599,Kentucky,1420,26,28,1637
157632,Kentucky,748,20.2,20.4,726
157696,Kentucky,443,33.9,28,541
157711,Kentucky,7504,18.4,18.5,4698
157739,Kentucky,5221,21.7,18.5,2196
157757,Kentucky,1371,20.3,20.4,1053
157766,Kentucky,533,30.4,41.4,718
157793,Kentucky,3687,23.3,28,4405
157809,Kentucky,1502,27.2,20.4,1331
157818,Kentucky,1082,19.1,20.4,1272
157863,Kentucky,818,17.3,20.4,743
157951,Kentucky,17509,18.9,19.5,15115
158088,Louisiana,2242,28.2,21.9,1957
158352,Louisiana,2324,40.4,21.9,1969
158431,Louisiana,8464,17,21.9,6209
158440,Louisiana,23,29.3,28.9,128
158477,Louisiana,586,21.6,19,698
158662,Louisiana,18698,12.3,21.9,12843
158723,Louisiana,199,31.7,28.9,336
158802,Louisiana,1183,11.6,19,1300
158884,Louisiana,2506,21.6,21.9,1390
159009,Louisiana,4155,16.6,18.4,4191
159197,Louisiana,630,35.2,28.9,798
159382,Louisiana,2211,17.3,18.4,1696
159391,Louisiana,24923,19.5,18.4,23306
159407,Louisiana,2673,17,21.9,1739
159416,Louisiana,3674,17.8,18.4,2891
159443,Louisiana,2832,45.7,21.9,2378
159568,Louisiana,1116,17,19,1070
159647,Louisiana,9245,16.9,18.4,7530
159656,Louisiana,2946,17,19,3258
159717,Louisiana,7575,17.3,18.4,6942
