universityid,level,institution_type,specific_college_type
220978,4-year,Public,Doctoral/Research Universities
221014,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
221096,2-year,Public,Associates--Public Rural-serving Medium
221148,2-year,Private for-profit,Associates--Private For-profit
221184,2-year,Public,Associates--Public Urban-serving Multicampus
221254,4-year,Private not-for-profit,Schools of art- music- and design
221351,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
221397,2-year,Public,Associates--Public Rural-serving Medium
221485,2-year,Public,Associates--Public Urban-serving Multicampus
221519,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
221643,2-year,Public,Associates--Public Urban-serving Multicampus
221661,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
221731,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
221740,4-year,Public,Masters Colleges and Universities--larger programs
221759,4-year,Public,Research Universities--very high research activity
221768,4-year,Public,Masters Colleges and Universities--medium programs
221795,4-year,Private for-profit,Other technology-related schools
221838,4-year,Public,Doctoral/Research Universities
221847,4-year,Public,Masters Colleges and Universities--larger programs
221856,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
221892,4-year,Private not-for-profit,Doctoral/Research Universities
221908,2-year,Public,Associates--Public Rural-serving Medium
221953,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
221971,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
221999,4-year,Private not-for-profit,Research Universities--very high research activity
222053,2-year,Public,Associates--Public Suburban-serving Single Campus
222062,2-year,Public,Associates--Public Rural-serving Large
222099,2-year,Private for-profit,Associates--Private For-profit
222105,2-year,Private not-for-profit,Associates--Private Not-for-profit
222178,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
222567,2-year,Public,Associates--Public Rural-serving Large
222576,2-year,Public,Associates--Public Rural-serving Large
222822,2-year,Public,Associates--Public Rural-serving Medium
222831,4-year,Public,Masters Colleges and Universities--medium programs
222877,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
222938,4-year,Private for-profit,Schools of art- music- and design
222983,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
222992,2-year,Public,Associates--Public Urban-serving Multicampus
223232,4-year,Private not-for-profit,Research Universities--high research activity
223320,2-year,Public,Associates--Public Rural-serving Medium
223427,2-year,Public,Associates--Public Rural-serving Large
223463,4-year,Private not-for-profit,Associates--Private For-profit
223472,2-year,Private for-profit,Associates--Private For-profit
223506,4-year,Public,Associates--Public 4-year Primarily Associates
223524,2-year,Public,Associates--Public Urban-serving Multicampus
223773,2-year,Public,Associates--Public Urban-serving Multicampus
223816,2-year,Public,Associates--Public Special Use
223898,2-year,Public,Associates--Public Rural-serving Medium
223922,2-year,Public,Associates--Public Rural-serving Small
224004,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
224110,2-year,Public,Associates--Public Rural-serving Large
224147,4-year,Public,Doctoral/Research Universities
224183,2-year,Private for-profit,Associates--Private For-profit
224226,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
224244,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
224271,2-year,Private not-for-profit,Associates--Private Not-for-profit
224323,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
224350,2-year,Public,Associates--Public Rural-serving Large
224439,4-year,Private for-profit,Associates--Private For-profit
224527,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
224545,4-year,Public,Masters Colleges and Universities--larger programs
224554,4-year,Public,Doctoral/Research Universities
224572,2-year,Public,Associates--Public Urban-serving Multicampus
224615,2-year,Public,Associates--Public Urban-serving Multicampus
224642,2-year,Public,Associates--Public Urban-serving Multicampus
224660,2-year,Private for-profit,Associates--Private For-profit
224679,2-year,Private for-profit,Associates--Private For-profit
224776,4-year,Private for-profit,Schools of art- music- and design
224891,2-year,Public,Associates--Public Rural-serving Small
224961,2-year,Public,Associates--Public Rural-serving Medium
225070,2-year,Public,Associates--Public Rural-serving Medium
225201,4-year,Private not-for-profit,Associates--Private For-profit
225247,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
225308,2-year,Public,Associates--Public Suburban-serving Multicampus
225371,2-year,Public,Associates--Public Rural-serving Medium
225399,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
225423,2-year,Public,Associates--Public Urban-serving Multicampus
225432,4-year,Public,Baccalaureate Colleges--Diverse Fields
225502,4-year,Public,Masters Colleges and Universities--larger programs
225511,4-year,Public,Research Universities--very high research activity
225520,2-year,Public,Associates--Public Rural-serving Medium
225548,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
225575,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
225627,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
225779,2-year,Private for-profit,Associates--Private For-profit
225788,2-year,Private for-profit,Associates--Private For-profit
225849,4-year,Private for-profit,Associates--Private For-profit
225858,4-year,Private for-profit,Associates--Private For-profit
225876,2-year,Private not-for-profit,Associates--Private Not-for-profit
225885,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
225991,2-year,Private for-profit,Associates--Private For-profit
226019,2-year,Public,Associates--Public Rural-serving Medium
226091,4-year,Public,Doctoral/Research Universities
226107,2-year,Public,Associates--Public Rural-serving Medium
226116,2-year,Public,Associates--Public Rural-serving Medium
226134,2-year,Public,Associates--Public Rural-serving Large
226152,4-year,Public,Masters Colleges and Universities--larger programs
226204,2-year,Public,Associates--Public Suburban-serving Multicampus
226231,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
226277,2-year,Private for-profit,Associates--Private For-profit
226383,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
226408,2-year,Public,Associates--Public Rural-serving Medium
226471,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
226578,2-year,Public,Associates--Public Rural-serving Large
226587,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
226806,4-year,Public,Associates--Public 4-year Primarily Associates
226833,4-year,Public,Masters Colleges and Universities--medium programs
226879,4-year,Private for-profit,Associates--Private For-profit
226930,2-year,Public,Associates--Public Urban-serving Multicampus
227146,2-year,Public,Associates--Public Rural-serving Large
227182,2-year,Public,Associates--Public Suburban-serving Multicampus
227191,2-year,Public,Associates--Public Urban-serving Multicampus
227216,4-year,Public,Research Universities--high research activity
227225,2-year,Public,Associates--Public Rural-serving Medium
227243,4-year,Private not-for-profit,Schools of business and management
227304,2-year,Public,Associates--Public Rural-serving Medium
227331,4-year,Private not-for-profit,Doctoral/Research Universities
227368,4-year,Public,Masters Colleges and Universities--larger programs
227377,4-year,Public,Masters Colleges and Universities--medium programs
227386,2-year,Public,Associates--Public Rural-serving Medium
227401,2-year,Public,Associates--Public Rural-serving Medium
227429,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
227526,4-year,Public,Masters Colleges and Universities--larger programs
227687,2-year,Public,Associates--Public Rural-serving Small
227757,4-year,Private not-for-profit,Research Universities--very high research activity
227766,2-year,Public,Associates--Public Urban-serving Multicampus
227836,2-year,Private for-profit,Associates--Private For-profit
227845,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
227854,2-year,Public,Associates--Public Urban-serving Multicampus
227863,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
227881,4-year,Public,Doctoral/Research Universities
227924,2-year,Public,Associates--Public Urban-serving Multicampus
227979,2-year,Public,Associates--Public Suburban-serving Multicampus
228042,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
228149,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
228158,2-year,Public,Associates--Public Rural-serving Large
228246,4-year,Private not-for-profit,Research Universities--high research activity
228316,2-year,Public,Associates--Public Rural-serving Medium
228325,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
228343,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
228431,4-year,Public,Masters Colleges and Universities--larger programs
228459,4-year,Public,Masters Colleges and Universities--larger programs
228468,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
228486,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
228501,4-year,Public,Masters Colleges and Universities--larger programs
228529,4-year,Public,Masters Colleges and Universities--larger programs
228547,2-year,Public,Associates--Public Urban-serving Multicampus
